1	1	1	0	106
2	1	2	0	11
3	2	1	0	11
4	2	2	0	180
5	2	2	1	64
6	2	2	2	32
7	3	1	0	212
8	3	1	1	32
9	3	2	0	32
10	4	1	0	11
11	4	2	2	21
12	5	1	0	85
13	5	1	1	11
14	5	2	1	11
15	5	2	2	11
16	6	1	0	117
17	6	1	1	53
18	6	2	0	106
19	6	2	1	96
20	7	1	0	96
21	7	1	1	42
22	7	2	0	117
23	7	2	1	53
24	8	1	0	21
25	8	1	1	11
26	8	2	0	64
27	8	2	1	21
28	9	2	0	21
29	10	1	0	1369
30	10	2	0	510
31	11	1	0	350
32	11	2	0	32
33	12	1	0	53
34	12	1	2	11
35	12	2	0	11
36	13	1	2	53
37	14	1	0	96
38	14	1	1	42
39	14	1	2	21
40	14	2	0	106
41	14	2	1	96
42	15	1	0	13.28
43	15	1	1	11
44	15	1	2	11
45	15	2	0	584
46	15	2	1	21
47	15	2	2	11
48	16	1	0	32
49	16	1	1	11
50	16	2	0	21
51	16	2	1	21
52	17	2	0	11
53	18	1	0	64
54	18	2	0	21
55	19	1	0	42
56	19	2	0	42
57	19	2	1	11
58	20	1	0	722
59	20	1	1	85
60	20	1	2	11
61	20	2	0	287
62	20	2	1	21
63	21	2	1	11
64	21	2	2	21
65	22	1	1	11
66	22	1	2	11
67	23	1	0	21
68	23	1	2	32
69	23	2	1	11
70	24	2	1	11
71	25	1	0	1.709
72	25	1	1	244
73	25	2	0	775
74	25	2	1	64
75	26	1	0	11
76	26	2	0	32
77	27	2	0	42
